No,Component Name,Category,Keywords,Description,Animation Library,CSS Only,Trigger Type,Complexity,Performance Impact,Accessibility Notes,Best For,Do Not Use For,Mobile Friendly,Implementation Hints
79,Drag Elements,Interaction,"drag elements reorder free position move gesture","Elements can be freely dragged and repositioned",@use-gesture + Motion,No,drag,Medium,Low,"Keyboard alternative required (arrow keys); announce position changes; snap to grid optional","Kanban boards, layout builders, sorting interfaces, games","Read-only content, sequential content",Yes,"@use-gesture useDrag; motion.div with x/y motion values; boundary constraints; spring return"
80,Elastic Line,Interaction,"elastic line rubber band pull stretch physics interactive","Line that stretches elastically when pulled and snaps back",Canvas or SVG,No,drag,Medium,Low,"Decorative interaction; provide alternative for touch devices; satisfying feedback","Sliders, dividers, interactive separators, playful elements","Standard UI dividers, production forms",Partial,"SVG path with quadratic bezier; control point follows drag; spring animation for snap-back"
81,Click Spark,Interaction,"click spark burst particle explosion feedback tap","Particle burst effect on click/tap for satisfying feedback",Canvas or CSS,Partial,click,Low,Low,"Purely decorative feedback; don't rely on it for confirmation; subtle effect","Buttons, like/favorite actions, achievements, celebrations","Every click (overuse), accessibility-focused, professional",Yes,"Create particles at click position; animate outward with opacity fade; 8-12 particles; remove after animation"
82,Scroll-triggered Counter,Interaction,"counter scroll trigger animate number increment statistic","Numbers animate when scrolled into view counting up to final value",Motion or custom JS,No,scroll,Low,Low,"Final value in aria-label; don't rely on animation for comprehension","Statistics sections, dashboards, achievements, about pages","Critical data displays, tables, frequent updates",Yes,"IntersectionObserver trigger; requestAnimationFrame with easing; format with toLocaleString; once: true"
83,Electric Border,Interaction,"electric border glow pulse neon animated outline energy","Animated glowing/electric border effect around elements",CSS,Yes,hover/continuous,Low,Low,"Decorative; ensure content contrast not affected; subtle for continuous mode","Feature cards, CTAs, gaming themes, highlighted sections","Every element (overuse), minimal/clean themes",Yes,"box-shadow animation with color cycling; or border-image with animated gradient; or pseudo-element"
84,Star Border,Interaction,"star border sparkle twinkle animated dots around edge","Animated dots/stars that move along element border",CSS or Canvas,Partial,continuous/hover,Medium,Low,"Purely decorative; respect reduced-motion; subtle effect","Premium features, highlighted cards, celebration UI, gaming","Every card, minimal themes, professional/corporate",Yes,"Pseudo-element with conic-gradient animation; overflow:hidden container; or Canvas drawing dots along path"
85,Meteor Shower,Background,"meteor shooting star trail streak diagonal falling","Animated meteors/shooting stars streaking diagonally across background",CSS,Yes,continuous,Low,Low,"Purely decorative; respect reduced-motion; keep subtle","Dark themes, space/tech aesthetics, hero sections, landing pages","Light themes, content-heavy sections, professional/corporate",Yes,"CSS pseudo-elements with linear animation; random delays and positions; rotate(215deg); opacity fade; multiple instances with varying speed/size"
86,Spotlight Lamp Effect,Background,"spotlight lamp cone light reveal illuminate glow radial","Cone of light that illuminates from a point creating dramatic spotlight reveal",CSS or Motion,Yes,load/scroll,Medium,Low,"Ensure text is readable without the effect; decorative enhancement","Hero sections, feature reveals, dramatic headings, dark themes","Light themes, dense content, data UIs",Yes,"Conic-gradient from top center; opacity animation revealing content below; backdrop glow with box-shadow; blur for softness"
87,Background Beams,Background,"beams rays light lines radiating streaks animated","Animated light beams radiating across the background",CSS or Canvas,Yes,continuous,Low,Low,"Subtle motion; respect reduced-motion; ensure content readability","Hero backgrounds, dark themes, tech aesthetics, SaaS","Light themes, text-heavy content, mobile-first",Yes,"CSS: multiple linear-gradients at angles with translateX animation; or Canvas lines with glow; mix-blend-mode: screen"
88,Beams With Collision,Background,"beams collision intersect light rays particle burst","Light beams that animate and produce particle effects on collision points",Canvas or GSAP,No,continuous,High,Medium,"Decorative; reduce beam count on mobile; heavy on many collisions","Creative agencies, gaming, entertainment, interactive art","Production UIs, mobile-first, content-focused",No,"Canvas: line intersection detection; particle emitter at collision points; glow effect with globalCompositeOperation: screen"
89,Vortex Swirl,Background,"vortex swirl spiral rotating tunnel depth funnel","Rotating spiral/vortex tunnel effect creating depth illusion",WebGL or Canvas,No,continuous,High,High,"Can cause motion sickness; respect reduced-motion; provide static fallback","Creative agencies, music/entertainment, loading screens, experimental","Healthcare, finance, accessibility-focused, mobile",No,"WebGL fragment shader with polar coordinates; or Canvas with rotating arcs; noise distortion for organic feel"
90,Tracing Beam,Background,"tracing beam path follow scroll line animated trail","Animated beam that traces a path as user scrolls down the page",GSAP ScrollTrigger or Motion,No,scroll,Medium,Low,"Decorative; final path should be visible for reduced-motion; don't block content","Documentation, storytelling, feature walkthroughs, timelines","Short pages, data-heavy UIs, mobile (too narrow)",Partial,"SVG path with stroke-dashoffset driven by scroll progress; ScrollTrigger scrub; glow filter on path"
91,Canvas Reveal Effect,Background,"canvas reveal scratch scratchoff erase uncover hover","Content is hidden behind a canvas layer that erases on hover/touch revealing content below",Canvas,No,cursor/touch,Medium,Medium,"Hidden content must be accessible without interaction; provide reveal-all button","Promotions, coupons, interactive reveals, gamification, landing pages","Critical content, navigation, accessibility-focused",Yes,"Canvas overlay with globalCompositeOperation: destination-out; track mouse/touch position; draw circles at cursor"
92,Dither Shader,Background,"dither shader pixelate halftone retro noise pattern","Dithering/halftone shader effect creating retro pixel art style background",WebGL or CSS,Partial,continuous/static,Medium,Medium,"Purely decorative; provide clean fallback; ensure text contrast","Retro aesthetics, creative agencies, artistic portfolios, experimental","Corporate, healthcare, clean/minimal UIs",Partial,"WebGL fragment shader with dither matrix; or CSS mix-blend-mode trick with gradient + pattern; SVG filter alternative"
93,Animated Border Trail,Background,"border trail moving outline animated path glow edge","Animated trail/glow that continuously moves along an element's border",CSS,Yes,continuous/hover,Low,Low,"Decorative; don't use on every element; subtle glow","Feature cards, CTAs, highlighted sections, premium elements","Every element (overuse), minimal themes, dense UIs",Yes,"Conic-gradient rotating via animation; overflow:hidden with pseudo-element; or border-image with animated gradient position"
94,Ripple Background,Background,"ripple wave concentric circles expanding pulse water","Concentric circles expanding outward from a point like ripples in water",CSS or Canvas,Yes,click/continuous,Low,Low,"Subtle; respect reduced-motion; ensure content readability","Hero backgrounds, click feedback backgrounds, calm aesthetics","Dense content, text-heavy, high-contrast themes",Yes,"CSS: multiple box-shadows animating scale + opacity; or Canvas circles with expanding radius; border-radius: 50%"
95,Sparkles,Background,"sparkle stars twinkle glitter shimmer random floating","Random sparkle/star particles that twinkle across an area",CSS or Canvas,Partial,continuous,Low,Low,"Decorative; respect reduced-motion; keep count low","Celebration UI, premium features, magical aesthetics, CTAs","Professional/corporate, minimal, dense UIs",Yes,"CSS: random positioned pseudo-elements with scale + opacity animation; or Canvas: random points with twinkle cycle"
96,Background Boxes,Background,"boxes grid blocks colored animated pattern mosaic","Grid of colored blocks/boxes that animate with color changes or hover effects",CSS,Yes,continuous/hover,Low,Low,"Decorative; ensure foreground content contrast; subtle color transitions","Tech aesthetics, grid-based designs, developer tools, landing pages","Image-heavy, content-focused, minimal themes",Yes,"CSS Grid with colored cells; animation on individual cells with random delays; hover: highlight cell; transition: background-color"
97,Glowing Stars,Background,"glowing stars night sky twinkling dots cosmic space","Twinkling star field with glow effects simulating night sky",CSS or Canvas,Partial,continuous,Low,Low,"Subtle; respect reduced-motion; dark backgrounds required","Space/astronomy themes, dark hero sections, night mode UIs","Light themes, content-heavy, professional",Yes,"CSS: radial-gradient dots with opacity animation at random delays; or Canvas: random positioned circles with glow pulse"
98,Evervault Card,Card,"evervault random characters grid matrix hover reveal","Card filled with random characters in a grid that react to cursor hover position",Custom JS,No,hover,Medium,Medium,"Provide readable content fallback; decorative effect; disable on touch","Tech/security branding, developer tools, creative portfolios","Content cards, mobile, accessibility-focused",No,"Grid of characters; recalculate visible characters based on cursor distance; radial gradient mask; monospace font; requestAnimationFrame"
99,Direction-Aware Hover,Card,"direction aware hover reveal overlay enter angle mouse","Overlay reveals from the direction the cursor enters the card",Custom JS,No,hover,Medium,Low,"Content must be accessible without hover; provide focus fallback","Image galleries, portfolio grids, team pages, product cards","Mobile (no hover), text-only cards, accessibility-focused",No,"Detect mouse entry angle using getBoundingClientRect and mouse position; set CSS transform-origin and translateX/Y accordingly"
100,Wobble Card,Card,"wobble card tilt spring jiggle hover bounce elastic","Card wobbles/jiggles with spring physics on hover interaction",Motion or React Spring,No,hover,Low,Low,"Keep wobble subtle; reset on mouse leave; disable on touch","Product cards, playful UIs, feature highlights, e-commerce","Professional/corporate, medical, finance",Partial,"Spring animation on rotateX/Y with low stiffness high damping; track cursor delta for wobble direction; smooth return"
101,Expandable Card,Card,"expandable card click expand fullscreen morph detail","Card expands from grid position to full-screen detail view with morph animation",Motion layoutId or FLIP,No,click,High,Low,"Focus management on expand/collapse; escape to close; announce state change; scroll lock","Product details, portfolio pieces, image galleries, team bios","Dense data tables, forms, sequential workflows",Yes,"Motion: layoutId on shared container; AnimatePresence for detail view; scroll lock on body; z-index management"
102,Glowing Card,Card,"glowing card border animated gradient neon pulse outline","Card with animated gradient glow around its border",CSS,Yes,hover/continuous,Low,Low,"Decorative; ensure card content contrast not affected","Feature highlights, pricing cards, premium tiers, dark themes","Every card (overuse), light themes, minimal designs",Yes,"Pseudo-element with conic-gradient rotating animation; blur for glow; overflow:hidden; or animated box-shadow"
103,LED Board,Card,"LED board dot matrix display pixel text retro digital","Dot matrix / LED board style display showing text or numbers in pixel format",CSS or Canvas,Partial,continuous/load,Medium,Low,"Provide readable text alternative; decorative display only","Scoreboards, counters, retro themes, gaming UIs, status displays","Body text, forms, accessibility-critical content",Yes,"CSS Grid of circular dots; color per dot based on character bitmap; animation: sequential reveal; monospace mapping"
104,Card Spread,Card,"card spread fan out hover stack reveal cascade","Stacked cards fan out on hover revealing all cards beneath",CSS or Motion,Partial,hover,Low,Low,"All cards must be accessible; keyboard navigation between spread cards","Feature comparison, testimonial previews, option selection","Dense data, mobile (small viewport), many cards",Partial,"Cards absolute positioned; hover: apply transform rotate + translateX per card with nth-child calc; transition: transform"
105,Text Generate Effect,Text,"text generate words appear blur fade one by one sequential","Words appear one by one with blur-to-focus animation",Motion or GSAP,No,load/scroll,Medium,Low,"Final text must be accessible; use aria-label on container; screen reader gets full text","Hero descriptions, feature explanations, storytelling intros","Short labels, navigation, buttons, dense content",Yes,"Split text into word spans; stagger visibility with blur filter transition per word; IntersectionObserver trigger"
106,Flip Words,Text,"flip words vertical 3D rotate cycle swap replacement","Words cycle by flipping vertically with 3D rotation animation",CSS or Motion,Yes,continuous/timer,Low,Low,"Include all words in aria-label; announce current word change","Hero subtitles, taglines, feature highlights, value propositions","Navigation, labels, body text, error messages",Yes,"overflow:hidden container; perspective on parent; each word rotateX(90deg) in/out; AnimatePresence for React"
107,Jitter Text,Text,"jitter shake vibrate text letter random movement wiggle","Letters randomly jitter/shake with subtle movement creating nervous energy",CSS,Yes,hover/continuous,Low,Low,"Keep movement small (1-2px); respect reduced-motion; can be disorienting","Error states, gaming UIs, emphasis moments, playful brands","Body text, navigation, professional/medical UIs",Yes,"@keyframes with random translateX/Y values per character; animation with different durations per span; :hover trigger"
108,Wave Reveal,Text,"wave reveal text characters undulate sine motion entrance","Characters animate in with wave/sine motion creating undulating entrance",GSAP or Motion,No,load/scroll,Medium,Low,"Final text must be static and accessible; decorative entrance only","Hero headings, section titles, creative intros","Dense content, frequently-updated text, body copy",Yes,"Split into character spans; stagger with sine-based translateY offset; delay = index * 30ms; settle to translateY(0)"
109,Text Explode,Text,"text explode burst scatter characters iMessage reaction","Characters scatter outward from text position like an explosion",GSAP or Motion,No,click/interaction,High,Medium,"Provide text fallback; don't use for critical content; purely celebratory","Celebration moments, achievements, reactions, game events","Regular UI text, navigation, forms, professional",Partial,"Split text into character spans; random velocity vectors per character; physics sim or spring with random targets; opacity fade"
110,Mirror Text,Text,"mirror text reflection duplicate flip vertical symmetry","Text with a fading mirror reflection below it",CSS,Yes,static/load,Low,Low,"Decorative; ensure original text meets contrast requirements","Headings, logos, artistic sections, luxury aesthetics","Body text, dense content, data UIs",Yes,"Pseudo-element or duplicate with transform: scaleY(-1); mask-image: linear-gradient for fade; opacity reduction"
111,Mask Text,Text,"mask text clip reveal shape through gradient image background","Text that reveals an image or gradient through its letter shapes",CSS,Yes,static/scroll,Low,Low,"Ensure text is readable; provide solid-color fallback for reduced-motion","Hero headings, brand statements, artistic sections","Small text, navigation, body copy",Yes,"background-clip: text; -webkit-text-fill-color: transparent; background-image with gradient or image; optional: animate background-position"
112,Bold Copy,Text,"bold copy weight scroll transition progressive heavy light","Text weight transitions from light to bold as user scrolls through it",GSAP ScrollTrigger or custom JS,No,scroll,Medium,Low,"Variable font required; ensure all weights meet contrast; reduced-motion: show final weight","Editorial, storytelling, long-form content, artistic portfolios","Short content, navigation, data UIs, non-variable fonts",Partial,"Variable font with wght axis; ScrollTrigger per paragraph; map scroll progress to font-variation-settings wght value"
113,Text Highlight,Text,"text highlight marker underline animated color sweep reveal","Animated highlighting effect sweeping across text like a marker pen",CSS or Motion,Yes,scroll/load,Low,Low,"Highlighted text must maintain contrast; decorative enhancement","Key phrases, feature descriptions, testimonials, emphasis","Every line (overuse), dense content, data tables",Yes,"Pseudo-element with background-color; scaleX(0) to scaleX(1); transform-origin: left; transition on scroll trigger"
114,Hero Parallax Images,Hero,"hero parallax images floating layers depth scroll perspective","Hero section with multiple images that float at different parallax speeds on scroll",GSAP ScrollTrigger or Motion,No,scroll,Medium,Medium,"Provide flat layout for reduced-motion; all images need alt text; don't obscure hero text","Portfolio landing, product showcases, creative agencies, photography","Mobile (performance + viewport), text-heavy heroes, data apps",Partial,"Multiple absolutely positioned images; each with different translateY speed multiplier on scroll; z-index for depth; will-change: transform"
115,Macbook Scroll,Hero,"macbook laptop scroll open reveal product mockup screen","Laptop/device mockup that opens or reveals content as user scrolls",GSAP ScrollTrigger,No,scroll,High,Medium,"Product content must be accessible without animation; provide screenshot fallback","Product launches, app showcases, SaaS landing pages, feature tours","Non-tech products, mobile-first, content-focused blogs",Partial,"3D perspective on laptop lid; rotateX driven by scroll progress; content revealed as lid opens; pin section during animation"
116,Lamp Hero Effect,Hero,"lamp spotlight cone light reveal text hero dramatic","Dramatic cone of light illuminating hero text from above like a desk lamp",CSS,Yes,load,Medium,Low,"Text must be readable in final state; decorative entrance effect","Dark theme hero sections, product launches, dramatic reveals","Light themes, content-heavy, data dashboards",Yes,"Conic-gradient with narrow angle; animation: expand cone width + increase opacity; text revealed as light spreads; border-radius for soft edges"
117,Shape Shifter Hero,Hero,"shape shifter morph SVG background hero organic abstract","Morphing abstract SVG shapes in hero background that continuously transform",GSAP MorphSVG or CSS,Partial,continuous,Medium,Medium,"Purely decorative; ensure hero text contrast; respect reduced-motion","Creative agencies, artistic portfolios, modern landing pages","Corporate, data-heavy, performance-critical mobile",Partial,"Multiple SVG paths morphing between blob shapes; GSAP MorphSVG or CSS d property animation; filter: blur for softness"
118,Sticky Scroll Reveal,Hero,"sticky scroll reveal pin content swap section fixed","Pinned section where content/images swap as user scrolls through associated text blocks",GSAP ScrollTrigger,No,scroll,High,Low,"Each content block must be independently accessible; keyboard navigation between blocks","Feature showcases, product tours, case studies, documentation","Short content, mobile (limited viewport), dense data",Partial,"position: sticky on visual panel; IntersectionObserver or ScrollTrigger on text blocks; crossfade or slide content on trigger"
119,Compare Slider,Hero,"compare slider before after drag split image difference","Draggable slider dividing two overlapping images for before/after comparison",Custom JS or react-compare-slider,No,drag,Medium,Low,"Provide image descriptions; keyboard accessible (arrow keys); announce comparison to screen readers","Before/after results, design comparisons, photo editing, product improvements","Non-visual content, text-only sections, mobile (small images)",Yes,"Two overlapping images; clip-path or overflow:hidden on one side; drag handler updates clip position; touch support"
120,Container Cover,Hero,"container cover text hover reveal fullbleed image expand background","Text that reveals a full-bleed background image on hover or scroll interaction",CSS or Motion,Partial,hover/scroll,Medium,Low,"Image must have alt text; text must be readable in both states","Hero sections, portfolio items, creative landing pages","Dense content, data UIs, mobile-primary",Partial,"Background-image with background-size: cover; clip-path expanding on hover; or scale transform with overflow:hidden"
121,Following Pointer,Interaction,"following pointer cursor chase element trail smooth","Element or shape that smoothly follows the cursor with configurable lag",Custom JS,No,cursor,Low,Low,"Hide on touch devices; don't obscure interactive elements; z-index below clickable content","Custom cursors, decorative enhancement, creative portfolios","Mobile, enterprise apps, accessibility-focused",No,"mousemove event; lerp (linear interpolation) for smooth following; requestAnimationFrame; pointer-events: none on follower"
122,Pointer Highlight,Interaction,"pointer highlight hover glow area illuminate cursor zone","Area around cursor illuminates or highlights nearby content",CSS or custom JS,Partial,cursor,Low,Low,"Decorative; content must be readable without highlight; touch fallback not needed","Dark themes, card grids, image galleries, feature sections","Light themes where effect is invisible, mobile",No,"CSS: radial-gradient positioned at mouse coordinates via custom properties; mix-blend-mode for blending; or mask-image"
123,Lens Effect,Interaction,"lens magnify zoom hover glass circular enlarge detail","Magnifying glass effect that zooms content under the cursor",Custom JS,No,hover,Medium,Medium,"Provide click-to-zoom alternative; ensure zoomed content is accessible; keyboard activation","Product images, maps, fine art, detail inspection, e-commerce","Small elements, text content, mobile (pinch-to-zoom instead)",Partial,"Circular element following cursor; clip zoomed version of content; scale transform within lens area; background-position tracking"
124,Link Preview,Interaction,"link preview hover popup card website thumbnail tooltip","Hovering a link shows a preview popup with page thumbnail and description",Custom JS or Motion,No,hover,Medium,Medium,"Don't block navigation; keyboard accessible (focus trigger); announce preview content","Blog posts, documentation, knowledge bases, wikis, social feeds","Mobile (no hover), dense link lists, navigation menus",No,"Fetch metadata on hover (with debounce); render preview card positioned near link; AnimatePresence for enter/exit; z-index management"
125,Animated Tooltip,Interaction,"animated tooltip hover popup motion spring scale info","Tooltip that appears with spring/scale animation on hover or focus",Motion or CSS,Partial,hover/focus,Low,Low,"Must be keyboard accessible (focus trigger); announce tooltip content; respect prefers-reduced-motion","Form hints, icon labels, feature explanations, abbreviations","Mobile-primary (use tap instead), dense UIs with many tooltips",Yes,"scale(0.8) + opacity:0 to scale(1) + opacity:1; spring transition; transform-origin from trigger direction; Radix/Floating UI for positioning"
126,Multi-Step Loader,Interaction,"multi step loader progress sequential stages animated steps","Animated loader showing sequential progress steps completing one by one",CSS or Motion,Yes,load,Low,Low,"Use aria-progressbar; announce step changes; provide text description of current step","File uploads, onboarding flows, checkout processes, data processing","Simple loading (use spinner), instant operations",Yes,"Flex row of step indicators; sequential fill animation with staggered delay; checkmark animation on complete; progress bar connecting steps"
127,Ripple Button,Interaction,"ripple button click material design wave expand circle","Material Design-style ripple wave expanding from click point on button",CSS or custom JS,Partial,click,Low,Low,"Don't rely on ripple for button feedback; ensure button has other focus/active states","Buttons, list items, cards, Material Design UIs","Minimal/flat UIs without Material aesthetic, iOS-style apps",Yes,"Create span at click coordinates; animate scale(0) to scale(4) with opacity fade; position absolute; overflow:hidden on button; remove after animation"
128,Swipe Button,Interaction,"swipe button slide confirm drag action gesture unlock","Button requiring swipe/slide gesture to confirm destructive or important action",Custom JS or @use-gesture,No,drag,Medium,Low,"Provide tap alternative for accessibility; announce action; haptic feedback on complete","Destructive actions, payment confirmations, unlock screens, slide-to-send","Frequent actions, navigation, toggles",Yes,"Draggable thumb within track; threshold for completion; spring snap-back if incomplete; success animation on threshold met"
129,File Upload Drag,Interaction,"file upload drag drop zone animated hover dashed border","Animated file upload zone with drag-and-drop visual feedback",CSS or Motion,Partial,drag,Low,Low,"Maintain file input for accessibility; announce drag state changes; keyboard upload alternative","File upload forms, image uploaders, document submission","Inline inputs, mobile (use native picker instead)",Yes,"dragenter/dragover/dragleave events; border-style: dashed with color transition; scale pulse on dragover; progress bar on upload"
130,Vanishing Input,Interaction,"vanishing input placeholder dissolve disappear text field fade","Input placeholder text dissolves/vanishes with particle or fade effect when user starts typing",Custom JS or Motion,No,focus,Medium,Low,"Standard label must exist; placeholder dissolution is decorative; input must work without effect","Search bars, hero inputs, creative forms, landing page CTAs","Standard forms, accessibility-focused, dense form layouts",Partial,"Split placeholder into character spans; animate opacity + translateY on input focus; stagger removal; restore on blur if empty"
131,GitHub Globe,DataViz,"github globe 3D earth connections arcs world network","Interactive 3D globe with animated arcs showing connections between points",Three.js + globe.gl or cobe,No,continuous/interaction,High,High,"Provide flat map or list alternative; decorative visualization; keyboard rotation controls","Global presence, network visualization, tech landing pages, SaaS","Mobile (performance), small viewports, accessibility-focused",Partial,"cobe library for lightweight globe; or Three.js with custom sphere; arcs as TubeGeometry; point markers; auto-rotation"
132,World Map Connections,DataViz,"world map connections animated dots lines geography network","Flat world map with animated connection lines between locations",SVG or Canvas,Partial,continuous/load,Medium,Medium,"Provide list of locations as accessible alternative; decorative visualization","Global presence, shipping/logistics, network coverage, SaaS landing","Small viewports, non-geographic data, mobile-first",Partial,"SVG map paths; animated lines using stroke-dashoffset between coordinate pairs; pulsing dots at endpoints; CSS animations"
133,Animated Timeline,DataViz,"timeline vertical scroll animated history events milestones","Vertical timeline with entries that animate in as user scrolls",CSS or Motion,Yes,scroll,Low,Low,"Timeline content must be accessible without animation; semantic HTML (ol/li); keyboard navigable","Company history, project milestones, roadmaps, changelogs, careers","Horizontal layouts, dense data, short histories",Yes,"Vertical line with positioned entries; IntersectionObserver per entry; translateX + opacity entrance; alternating left/right layout"
134,3D Pin Map,DataViz,"3D pin map marker location point raised elevation globe","Map with 3D elevated pins that rise from the surface marking locations",Three.js or CSS,Partial,load/hover,High,Medium,"Provide list of locations as alternative; pin labels for screen readers; keyboard focus per pin","Store locators, office locations, real estate, event venues","Non-geographic data, mobile (3D too heavy), many pins",Partial,"CSS: perspective + translateZ on markers; Three.js: cylinder/cone geometry on plane; hover: increase elevation + show label"
135,Commit Graph,DataViz,"commit graph contribution grid heatmap calendar github activity","GitHub-style contribution/activity heatmap grid with animated entrance",CSS or SVG,Yes,load/scroll,Low,Low,"Provide data table alternative; each cell needs tooltip with count; color legend required","Developer portfolios, activity tracking, habit displays, analytics","Non-temporal data, small datasets, real-time data",Yes,"CSS Grid of small squares; color intensity mapped to value; stagger reveal animation per column; tooltip on hover"
136,Animated Bar Chart,DataViz,"bar chart animated entrance grow height transition data visualization","Bar chart with bars that animate growing from zero to their values",CSS or Chart.js,Partial,scroll/load,Low,Low,"Provide data table alternative; respect reduced-motion; announce values to screen readers","Statistics, dashboards, comparison pages, reports","Real-time updating data (use transitions instead), tiny datasets",Yes,"CSS: height transition from 0 to target with stagger delay per bar; or Chart.js animation config; IntersectionObserver trigger"
137,Animated Donut Chart,DataViz,"donut chart animated circle progress ring fill percentage arc","Donut/ring chart with arcs that animate filling to their percentages",CSS or SVG,Yes,scroll/load,Low,Low,"Provide percentage values as text; color + label (not color alone); reduced-motion: show final state","Dashboards, progress displays, portfolio allocation, skill levels","Many categories (>6), precise data, real-time updates",Yes,"SVG circle with stroke-dasharray/dashoffset animation; or CSS conic-gradient with animation; total label in center"
138,Gauge Chart,DataViz,"gauge chart meter speedometer arc needle indicator","Semicircular gauge with animated needle/fill showing a metric value",SVG or Canvas,Partial,scroll/load,Low,Low,"Provide numeric value as text; announce level to screen readers; color zones for context","KPIs, performance metrics, health stats, system monitoring","Precise data comparison, many metrics side-by-side, mobile (small)",Yes,"SVG arc with stroke-dashoffset animation; needle as rotated line; color zones with multiple arcs; spring animation for needle"
139,Bento Grid,Layout,"bento grid mosaic asymmetric animated hover cards varying sizes","Asymmetric grid layout with varying card sizes and animated hover effects",CSS Grid or Motion,Partial,hover/load,Medium,Low,"All grid items must be keyboard navigable; focus indicators visible; responsive reflow","Feature showcases, dashboards, landing pages, portfolios","Dense data tables, uniform lists, mobile (simplify to stack)",Yes,"CSS Grid with grid-template-areas or span variations; hover: scale or elevation; stagger entrance animation; responsive breakpoint simplification"
140,Layout Grid Stagger,Layout,"layout grid stagger entrance items cascade appear reveal","Grid of items that appear with cascading stagger animation based on position",Motion or GSAP,No,scroll/load,Low,Low,"Content must be accessible during animation; use once: true for performance","Product grids, team pages, portfolio galleries, card layouts","Data tables, frequently-updated lists, above-the-fold content",Yes,"Calculate stagger delay from grid position: (row + col) * 50ms; translateY + opacity per item; IntersectionObserver trigger"
141,3D Marquee,Layout,"3D marquee carousel rotating perspective depth continuous loop","3D perspective marquee with elements arranged in depth as they scroll",CSS or Three.js,Partial,continuous,Medium,Medium,"Provide flat marquee fallback; content must be accessible statically; respect reduced-motion","Product showcases, feature tours, creative landing pages, portfolios","Dense content, text-heavy, mobile-first, accessibility-focused",Partial,"perspective + translateZ per element; continuous animation combining translateX + translateZ; scale adjustment for depth illusion"
142,Animated List,Layout,"animated list items enter exit reorder motion spring layout","List items that animate entrance/exit/reorder with spring physics",Motion or FLIP,No,interaction,Medium,Low,"Announce list changes to screen readers; maintain focus on reorder; keyboard reorder support","Todo lists, notification feeds, search results, kanban columns","Static content, large lists (>100 items), data tables",Yes,"AnimatePresence for enter/exit; layoutId for reorder; spring transition; height animation for list container; exit: opacity + translateX"
143,Morphing Dialog,Layout,"morphing dialog modal expand source trigger origin animate transform","Dialog/modal that morphs from its trigger element expanding smoothly into a larger view",Motion layoutId or FLIP,No,click,High,Low,"Focus trap in dialog; escape to close; return focus to trigger on close; announce dialog content","Detail views from cards, image lightboxes, inline editing, previews","Simple alerts (use standard modal), mobile (use full-screen instead)",Yes,"Motion: shared layoutId on trigger + dialog container; AnimatePresence for mount/unmount; backdrop fade; spring transition"
144,Webcam Pixel Grid,Interaction,"webcam pixel grid camera mosaic blocks real-time video","Real-time webcam feed displayed as pixelated grid of colored blocks",Canvas + getUserMedia,No,continuous,High,High,"Camera permission required; provide skip/disable option; privacy-sensitive; fallback for no-camera","Interactive experiences, creative portfolios, tech demos, events","Production UIs, mobile (battery), privacy-focused sites",No,"getUserMedia for camera access; Canvas: sample pixels at grid intervals; draw colored rectangles; requestAnimationFrame loop"
145,Confetti,Interaction,"confetti celebration party burst shower colorful falling pieces","Colorful confetti pieces bursting and falling on celebration events",canvas-confetti or Canvas,No,interaction,Low,Low,"Triggered by user action only; brief duration; respect reduced-motion; don't block content","Achievement unlocks, form submissions, purchases, milestones, celebrations","Every action (overuse), professional/corporate, accessibility-focused",Yes,"canvas-confetti library; or custom Canvas with physics particles; random colors/sizes/rotation; gravity for falling; fade after 3-5s"
146,Countdown Timer,Interaction,"countdown timer clock flip card number tick animated time","Animated countdown timer with flipping or rolling number transitions",CSS or Motion,Partial,continuous,Low,Low,"Announce time changes at intervals (not every second); provide static time for reduced-motion","Product launches, event pages, sales promotions, coming-soon pages","Past events, non-time-sensitive content, navigation",Yes,"Individual digit containers; flip: rotateX with backface-visibility; or rolling: translateY with overflow:hidden; update via setInterval"
147,Scroll Storytelling,Scroll,"scroll storytelling narrative pin reveal chapter sequential content","Full narrative experience with scroll-driven content reveals and pinned sections",GSAP ScrollTrigger,No,scroll,High,Medium,"All content must be accessible without scroll animation; provide skip/jump navigation; keyboard scrollable","Long-form articles, annual reports, product stories, case studies","Short content, data-heavy pages, dense UIs, mobile (simplify heavily)",Partial,"Multiple ScrollTrigger instances with pin/scrub; layered content reveals; media transitions between sections; progress indicator"
148,Animated Gradient Button,Interaction,"animated gradient button color shift hover CTA shimmer border","Button with animated gradient that shifts colors on hover or continuously",CSS,Yes,hover/continuous,Low,Low,"Button must have clear focus state; contrast ratio met at all gradient positions; reduced-motion: static gradient","CTAs, primary actions, premium features, landing pages","Every button (overuse), minimal UIs, dense forms",Yes,"background: linear-gradient with background-size: 200%; animation: gradient-shift; hover: background-position change; border variant with pseudo-element"
149,Morphing Button,Interaction,"morphing button shape transform circle loading state submit","Button that morphs shape (e.g. rectangle to circle) during loading state transition",Motion or CSS,Partial,click,Medium,Low,"Announce state changes (loading/success/error); maintain focus during morph; disabled during transition","Form submissions, async actions, file uploads, payment buttons","Navigation buttons, toggles, frequent-use actions",Yes,"Transition width to height (circle); border-radius: 50%; replace text with spinner; spring animation for morph; success: checkmark + green"
